2022/05/17 16:09:01:711 INFO    --start: 
2022/05/17 16:09:01:714 FINER   ENTRY - br.com.cis.LsApiComm :  lib path=[D:\ciswk\cis1004-ls40\SOFT\LsApiComm\lib\WIN64\LsApi.dll]
2022/05/17 16:09:02:260 FINER   ENTRY - br.com.cis.LsApiComm :  lib loaded=[D:\ciswk\cis1004-ls40\SOFT\LsApiComm\lib\WIN64\LsApi.dll]
2022/05/17 16:09:05:177 FINER   ENTRY - br.com.cis.LsApiComm : LSConnect ret=[0][Success]
2022/05/17 16:09:05:180 FINER   ENTRY - br.com.cis.LsApiComm : LSDisconnect ret=[0][Success]
2022/05/17 16:09:05:182 INFO    SenseKey=[0], SensorStatus=[0] 
2022/05/17 16:09:05:187 FINER   ENTRY - br.com.cis.LsApiComm : LSUnitIdentify ret=[0][Success]
2022/05/17 16:09:05:188 FINER   ENTRY - br.com.cis.LsApiComm : LSGetVersion ret=[0][Success]
2022/05/17 16:09:17:279 FINER   ENTRY - br.com.cis.LsApiComm : LSDisconnect ret=[0][Success]
2022/05/17 16:09:17:280 INFO    SenseKey=[0], SensorStatus=[1] 
2022/05/17 16:09:17:281 INFO    SensorStatus=[1] 
2022/05/17 16:09:17:349 FINER   ENTRY - br.com.cis.LsApiComm : LSConfigDoubleLeafingAndDocLength ret=[0][Success]
2022/05/17 16:09:17:350 INFO    Type=[7], Value=[50], DocMin=[100], DocMax=[320] 
2022/05/17 16:09:17:351 FINER   ENTRY - br.com.cis.LsApiComm : LSDisableWaitDocument ret=[0][Success]
2022/05/17 16:09:17:352 INFO    Value=[true] 
2022/05/17 16:09:18:971 FINER   ENTRY - br.com.cis.LsApiComm : LSDocHandle ret=[0][Success]
2022/05/17 16:09:18:971 INFO    Stamp=[0] 
2022/05/17 16:09:18:972 INFO    Validate=[0] 
2022/05/17 16:09:18:972 INFO    CodeLine=[5] 
2022/05/17 16:09:18:972 INFO    Side=[X] 
2022/05/17 16:09:18:972 INFO    ScanMode=[21] 
2022/05/17 16:09:18:972 INFO    Feeder=[0] 
2022/05/17 16:09:18:972 INFO    Sorter=[1] 
2022/05/17 16:09:18:973 INFO    WaitTimeout=[87] 
2022/05/17 16:09:18:973 INFO    Beep=[0] 
2022/05/17 16:09:18:973 INFO    ScanDocType=[3] 
2022/05/17 16:09:18:973 INFO    NrDoc=[0] 
2022/05/17 16:09:18:976 FINER   ENTRY - br.com.cis.LsApiComm : LSReadCodeline ret=[0][Success]
2022/05/17 16:09:19:048 FINER   ENTRY - br.com.cis.LsApiComm : LSReadImage ret=[0][Success]
2022/05/17 16:09:19:065 FINER   ENTRY - br.com.cis.LsApiComm : LSReadBarcodeFromBitmap ret=[-26][Invalid library]
2022/05/17 16:09:19:065 INFO    TypeBarcode=[2] 
2022/05/17 16:09:19:065 INFO    pos_x=[0], pos_y=[0], sizeW=[0], sizeH=[0] 
2022/05/17 16:09:19:065 INFO    Codeline=[[B@79b8509a] 
2022/05/17 16:09:19:066 INFO    LenCodeline=[128], legth=[0] 
2022/05/17 16:10:05:715 FINER   ENTRY - br.com.cis.LsApiComm : LSDisconnect ret=[0][Success]
2022/05/17 16:10:05:716 INFO    SenseKey=[0], SensorStatus=[1] 
2022/05/17 16:10:05:716 INFO    SensorStatus=[1] 
2022/05/17 16:10:05:718 FINER   ENTRY - br.com.cis.LsApiComm : LSConfigDoubleLeafingAndDocLength ret=[0][Success]
2022/05/17 16:10:05:719 INFO    Type=[7], Value=[50], DocMin=[100], DocMax=[320] 
2022/05/17 16:10:05:719 FINER   ENTRY - br.com.cis.LsApiComm : LSDisableWaitDocument ret=[0][Success]
2022/05/17 16:10:05:720 INFO    Value=[true] 
2022/05/17 16:10:07:302 FINER   ENTRY - br.com.cis.LsApiComm : LSDocHandle ret=[0][Success]
2022/05/17 16:10:07:302 INFO    Stamp=[0] 
2022/05/17 16:10:07:303 INFO    Validate=[0] 
2022/05/17 16:10:07:303 INFO    CodeLine=[5] 
2022/05/17 16:10:07:303 INFO    Side=[X] 
2022/05/17 16:10:07:303 INFO    ScanMode=[21] 
2022/05/17 16:10:07:304 INFO    Feeder=[0] 
2022/05/17 16:10:07:304 INFO    Sorter=[1] 
2022/05/17 16:10:07:304 INFO    WaitTimeout=[87] 
2022/05/17 16:10:07:304 INFO    Beep=[0] 
2022/05/17 16:10:07:304 INFO    ScanDocType=[3] 
2022/05/17 16:10:07:304 INFO    NrDoc=[0] 
2022/05/17 16:10:07:306 FINER   ENTRY - br.com.cis.LsApiComm : LSReadCodeline ret=[0][Success]
2022/05/17 16:10:07:376 FINER   ENTRY - br.com.cis.LsApiComm : LSReadImage ret=[0][Success]
2022/05/17 16:10:07:381 FINER   ENTRY - br.com.cis.LsApiComm : LSReadBarcodeFromBitmap ret=[-26][Invalid library]
2022/05/17 16:10:07:381 INFO    TypeBarcode=[2] 
2022/05/17 16:10:07:381 INFO    pos_x=[0], pos_y=[0], sizeW=[0], sizeH=[0] 
2022/05/17 16:10:07:382 INFO    Codeline=[[B@bbaa3f9] 
2022/05/17 16:10:07:382 INFO    LenCodeline=[128], legth=[0] 
2022/05/17 16:10:26:130 FINER   ENTRY - br.com.cis.LsApiComm : LSDisconnect ret=[0][Success]
2022/05/17 16:10:26:131 INFO    SenseKey=[0], SensorStatus=[1] 
2022/05/17 16:10:26:131 INFO    SensorStatus=[1] 
2022/05/17 16:10:26:133 FINER   ENTRY - br.com.cis.LsApiComm : LSConfigDoubleLeafingAndDocLength ret=[0][Success]
2022/05/17 16:10:26:134 INFO    Type=[7], Value=[50], DocMin=[100], DocMax=[320] 
2022/05/17 16:10:26:134 FINER   ENTRY - br.com.cis.LsApiComm : LSDisableWaitDocument ret=[0][Success]
2022/05/17 16:10:26:134 INFO    Value=[true] 
2022/05/17 16:10:27:707 FINER   ENTRY - br.com.cis.LsApiComm : LSDocHandle ret=[0][Success]
2022/05/17 16:10:27:707 INFO    Stamp=[0] 
2022/05/17 16:10:27:707 INFO    Validate=[0] 
2022/05/17 16:10:27:709 INFO    CodeLine=[5] 
2022/05/17 16:10:27:709 INFO    Side=[X] 
2022/05/17 16:10:27:709 INFO    ScanMode=[21] 
2022/05/17 16:10:27:709 INFO    Feeder=[0] 
2022/05/17 16:10:27:709 INFO    Sorter=[1] 
2022/05/17 16:10:27:709 INFO    WaitTimeout=[87] 
2022/05/17 16:10:27:709 INFO    Beep=[0] 
2022/05/17 16:10:27:711 INFO    ScanDocType=[3] 
2022/05/17 16:10:27:711 INFO    NrDoc=[0] 
2022/05/17 16:10:27:712 FINER   ENTRY - br.com.cis.LsApiComm : LSReadCodeline ret=[0][Success]
2022/05/17 16:10:27:811 FINER   ENTRY - br.com.cis.LsApiComm : LSReadImage ret=[0][Success]
2022/05/17 16:10:27:823 FINER   ENTRY - br.com.cis.LsApiComm : LSReadBarcodeFromBitmap ret=[-26][Invalid library]
2022/05/17 16:10:27:823 INFO    TypeBarcode=[2] 
2022/05/17 16:10:27:824 INFO    pos_x=[0], pos_y=[0], sizeW=[0], sizeH=[0] 
2022/05/17 16:10:27:824 INFO    Codeline=[[B@33b3abfa] 
2022/05/17 16:10:27:824 INFO    LenCodeline=[128], legth=[0] 
